ArrayType;Size;QuickTime;QuickComparisons;MergeTime;MergeComparisons;TernaryQuickTime;TernaryQuickComparisons;MSDTime;MSDComparisons;MSDSwitchTime;MSDSwitchComparisons
Random;100;0.042764;681;0.227877;599;0.025966;592;0.255401;0;0.024809;592
Random;200;0.120400;1879;0.482852;1512;0.068761;1458;0.534005;0;0.052372;1458
Random;300;0.124317;2988;0.609595;2532;0.078398;2290;0.495856;0;0.085396;428
Random;400;0.182100;4266;0.785694;3617;0.104306;3293;0.597870;0;0.121953;725
Random;500;0.242696;6167;1.000187;4847;0.136019;4320;0.652277;0;0.139763;989
Random;600;0.315745;8016;1.393768;6049;0.192855;5618;0.831918;0;0.183410;1292
Random;700;0.345670;8615;1.525733;7449;0.230097;7348;0.897667;0;0.218971;1747
Random;800;0.416796;10474;1.896275;8780;0.255014;8260;1.172645;0;0.294601;2085
Random;900;0.581407;11974;2.394500;10144;0.290618;8978;1.285684;0;0.421430;2440
Random;1000;0.802807;15351;3.189262;11583;0.414442;9225;1.387923;0;0.300127;2962
Random;1100;0.675119;16070;2.507581;13044;0.320899;10081;1.384063;0;0.368394;3472
Random;1200;0.616032;16781;2.752088;14581;0.394920;12757;1.853097;0;0.556470;3893
Random;1300;1.014044;19564;3.179754;16058;0.438542;13428;1.567799;0;0.422760;4318
Random;1400;0.845001;21653;3.429598;17587;0.465323;14292;1.752444;0;0.470672;4829
Random;1500;0.791931;22680;3.608162;19089;0.513468;14976;1.982738;0;0.478686;5315
Random;1600;0.931537;24693;4.046702;20683;0.538539;17675;1.903506;0;0.511135;5869
Random;1700;0.966398;26328;4.076774;22304;0.793221;17035;2.323406;0;0.557789;6285
Random;1800;1.051304;27955;4.509504;23980;0.638414;20726;2.362958;0;0.608307;6867
Random;1900;1.141170;30667;4.649762;25577;0.653386;20202;2.687610;0;0.654852;7522
Random;2000;1.258087;34604;4.998190;27226;0.728273;22483;2.861077;0;0.748293;7965
Random;2100;1.253364;37241;5.063916;28953;0.871901;21756;2.918012;0;0.781365;8569
Random;2200;1.274951;36669;5.448103;30423;0.837436;25228;2.989805;0;0.799305;8996
Random;2300;1.712500;41689;7.249386;32220;1.077904;27227;3.997710;0;0.866107;9674
Random;2400;1.842800;41740;7.241710;33959;1.009606;28789;3.551665;0;1.054194;10526
Random;2500;1.750328;43599;6.710685;35728;0.867973;27115;3.768044;0;0.947177;10671
Random;2600;2.033955;49640;6.657928;37542;0.910615;28857;3.999673;0;0.999874;11410
Random;2700;1.676046;45868;7.253418;39161;1.119450;34322;4.467959;0;1.296214;11928
Random;2800;2.204787;55181;8.550366;40999;1.091363;31848;4.822149;0;1.144691;12741
Random;2900;1.901141;49143;8.396472;42753;1.094212;32786;5.186935;0;1.175274;13156
Random;3000;2.070308;58410;8.469427;44537;1.124593;36036;5.014049;0;1.092591;13584
Reverse;100;0.151242;5017;0.136623;371;0.061634;2835;0.183270;0;0.059433;2835
Reverse;200;0.600044;20177;0.320083;911;0.149235;6954;0.361710;0;0.149947;6954
Reverse;300;1.525220;45480;0.510523;1519;0.411134;12159;0.749137;0;0.099795;614
Reverse;400;2.618489;80893;0.863016;2184;0.376865;16741;0.576057;0;0.110260;1054
Reverse;500;3.621973;126453;0.875427;3001;0.448103;20191;0.676642;0;0.141832;1636
Reverse;600;5.230895;182173;1.091752;3657;0.531571;24391;0.757648;0;0.177017;2333
Reverse;700;7.073817;248036;1.289769;4368;0.647252;28556;0.839342;0;0.210746;3158
Reverse;800;9.460267;324067;1.644722;5214;0.811374;33053;1.014674;0;0.277049;4111
Reverse;900;12.692941;410107;1.827888;6077;0.896781;37848;1.020069;0;0.318161;5228
Reverse;1000;16.815106;506188;2.646160;7076;0.952958;41001;1.203411;0;0.354958;6152
Reverse;1100;19.939033;612738;2.289473;7801;1.101682;46139;1.441252;0;0.417731;7371
Reverse;1200;23.062418;729375;2.540221;8536;1.282915;51047;1.489409;0;0.478090;8929
Reverse;1300;26.711566;856149;2.691836;9353;1.276551;55318;1.621642;0;0.515609;10472
Reverse;1400;32.094327;992743;3.129388;10242;1.394870;59680;1.879712;0;0.581431;11837
Reverse;1500;41.290461;1139737;3.575374;11193;1.665564;64391;2.114622;0;0.648716;13667
